HDI Rank (2017),Country,2000,,2005,,2010,,2011,,2012,,2013,,2014,,2015,,2016,
168,Afghanistan,..,..,..,..,3.4,..,4.1,..,6.3,..,..,..,..,..,..,..,..,..
68,Albania,4.2,..,5,..,4.3,..,4.9,..,5.4,..,4.2,..,4,..,2.3,..,2.7,..
85,Algeria,..,..,0.6,..,0.7,..,0.8,..,1.4,..,1.3,..,1.5,..,1.4,..,..,..
35,Andorra,..,..,..,..,..,..,1.2,..,..,..,..,..,..,..,..,..,..,..
147,Angola,..,..,..,..,..,..,4.4,..,4.8,..,..,..,..,..,..,..,..,..
70,Antigua and Barbuda,6,..,3.4,..,6.3,..,..,..,10.3,..,..,..,..,..,..,..,..,..
47,Argentina,..,..,..,..,..,..,..,..,..,..,..,..,7.5,..,6.5,..,5.9,..
83,Armenia,3,..,1.9,..,1.9,..,2.5,..,2.3,..,2.2,..,2.5,..,2.6,..,3,..
3,Australia,1.9,..,1.3,..,1,..,1.1,..,1.1,..,1.1,..,1,..,1,..,0.9,..
20,Austria,1,..,0.7,..,0.7,..,0.9,..,0.9,..,0.7,..,0.5,..,0.5,..,0.7,..
80,Azerbaijan,2.8,..,2.2,..,2.3,..,..,..,2.2,..,2.4,..,2.5,..,..,..,2.1,..
54,Bahamas,24.8,..,15.8,..,26.1,..,34.6,..,29.8,..,31.5,..,32.2,..,37.7,..,28.4,..
43,Bahrain,..,..,0.5,..,0.9,..,0.5,..,0.3,..,0.4,..,0.5,..,..,..,..,..
136,Bangladesh,2.5,..,2.5,..,2.6,..,2.6,..,2.6,..,2.8,..,2.8,..,2.5,..,..,..
58,Barbados,7.4,..,10.6,..,11.1,..,9.6,..,7.8,..,8.5,..,8.8,..,10.9,..,..,..
53,Belarus,10.2,..,8.6,..,4.2,..,3.9,..,3.6,..,3.5,..,3.6,..,..,..,..,..
17,Belgium,2.1,a,2.1,a,1.7,a,1.9,a,1.9,a,1.8,a,1.9,a,1.9,a,..,..
